"Площадь, м²",Комнаты,Местоположение,Состояние,Тип дома,Этаж,Год постройки,Потолки,Цена
70.0,2.0,1,4,2,27,2009.0,2.86,38500000
42.0,1.0,1,4,2,26,2017.0,2.86,25000000
50.0,1.0,1,4,2,24,2011.0,2.86,28000000
62.3,3.0,1,2,1,0,1980.0,2.86,45000000
69.0,2.0,1,4,2,27,2018.0,2.86,38500000
130.0,3.0,1,0,2,11,2007.0,2.86,39900000
86.6,3.0,1,0,2,11,2014.0,2.86,50500000
47.0,1.0,1,5,2,26,2023.0,2.86,18600000
57.03,2.0,1,1,2,27,2023.0,2.86,19000000
43.7,1.0,1,5,2,19,2023.0,2.86,18300000
35.0,1.0,1,4,2,2,2019.0,2.86,23500000
68.8,2.0,1,2,2,24,2011.0,2.86,36000000
42.0,2.0,1,4,2,23,2011.0,2.86,25000000
39.5,2.0,1,4,2,23,2018.0,2.86,23000000
39.9,1.0,1,2,2,24,2017.0,2.86,20000000
48.0,2.0,1,4,2,23,2011.0,2.86,27000000
68.7,2.0,1,4,2,29,2010.0,2.86,40000000
45.4,1.0,1,4,2,24,2012.0,2.86,28900000
88.6,3.0,1,4,0,24,2015.0,2.86,38900000
75.0,3.0,1,2,2,0,2018.0,2.86,29999000
51.0,2.0,1,4,1,11,1981.0,2.86,31800000
56.0,1.0,1,0,2,28,2010.0,2.86,23500000
44.5,1.0,1,5,2,24,2022.0,2.86,18000000
38.5,1.0,1,5,2,23,2022.0,2.86,18000000
75.0,3.0,1,5,2,24,2022.0,2.86,29500000
67.5,2.0,1,0,2,23,2011.0,2.86,32000000
67.2,2.0,1,0,2,29,2017.0,2.86,29000000
45.0,1.0,1,0,2,24,2017.0,2.86,23000000
90.7,3.0,1,0,2,26,2010.0,2.86,50000000
30.0,1.0,1,0,2,11,2022.0,2.86,11700000
58.2,2.0,1,4,2,29,2020.0,2.86,33000000
10.0,1.0,1,4,2,23,2019.0,2.86,18000000
102.8,5.0,1,2,1,11,2007.0,2.86,25000000
41.0,1.0,1,4,2,23,2023.0,2.86,21800000
47.0,1.0,1,4,2,11,2022.0,2.86,31000000
47.0,1.0,1,4,2,11,2022.0,2.86,31000000
64.4,2.0,1,4,2,23,2017.0,2.86,31500000
30.0,1.0,1,0,2,19,2011.0,2.86,14200000
55.0,2.0,1,4,2,11,2016.0,2.86,30500000
47.0,2.0,1,4,2,24,2023.0,2.86,26150000
30.0,1.0,1,0,2,19,2010.0,2.86,16800000
20.0,1.0,1,4,2,23,2020.0,2.86,13000000
75.0,3.0,1,4,2,19,2019.0,2.86,36000000
67.0,2.0,1,4,2,11,2018.0,2.86,35999990
30.0,1.0,1,0,2,24,2015.0,2.86,16500000
47.0,2.0,1,5,2,11,2015.0,2.86,19000000
55.0,2.0,1,4,2,3,2018.0,2.86,28300000
40.0,1.0,1,4,2,11,2014.0,2.86,23000000
51.0,1.0,1,4,2,28,2010.0,2.86,23000000
56.0,2.0,1,4,2,11,2017.0,2.86,29300000
71.54,3.0,1,0,2,0,2024.0,2.86,36000000
44.0,1.0,1,4,2,19,2014.0,2.86,20500000
59.21,2.0,1,0,2,30,2023.0,2.7,20131400
60.3,3.0,1,4,2,23,2019.0,2.86,27000000
70.0,2.0,1,0,2,0,2023.0,2.7,29000000
76.0,3.0,1,0,2,19,2013.0,2.7,34500000
39.0,1.0,1,0,2,23,2023.0,2.86,23000000
39.0,1.0,1,4,2,23,2011.0,2.86,25950000
41.0,1.0,1,4,2,11,2017.0,2.86,24000000
58.0,2.0,1,0,2,2,2017.0,2.86,36000000
37.4,1.0,1,3,2,23,2018.0,2.7,16100000
44.6,1.0,1,4,2,19,2015.0,2.86,22000000
70.0,2.0,1,0,2,29,2013.0,2.86,34000000
30.0,1.0,1,4,2,19,2015.0,2.86,16500000
30.0,1.0,1,4,2,28,2019.0,2.86,18000000
35.0,1.0,1,4,2,29,2019.0,2.86,22000000
30.0,1.0,1,4,2,19,2019.0,2.86,18500000
64.0,2.0,1,4,2,19,2014.0,2.86,32000000
35.0,1.0,1,4,2,28,2019.0,2.86,22000000
66.0,2.0,1,2,2,29,2014.0,2.86,26500000
62.0,3.0,1,2,3,11,1985.0,2.86,32000000
40.3,1.0,1,5,2,0,2023.0,2.86,17000000
34.6,1.0,1,0,2,26,2019.0,2.86,30000000
43.0,1.0,1,5,2,24,2016.0,2.86,18500000
47.0,1.0,1,4,2,27,2010.0,2.86,23199000
86.5,3.0,1,4,2,0,2015.0,2.86,53000000
30.0,1.0,1,4,2,23,2011.0,2.86,16500000
45.0,1.0,1,5,1,19,2023.0,2.86,20000000
40.0,1.0,1,4,2,19,2014.0,2.86,21500000
74.8,3.0,1,4,2,5,2017.0,2.86,47800000
35.0,1.0,1,0,2,26,2019.0,2.86,25000000
76.0,4.0,1,4,2,23,2014.0,2.86,34000000
45.0,1.0,1,4,2,24,2011.0,2.86,22300000
42.0,1.0,1,4,2,11,2021.0,2.86,27000000
43.0,2.0,1,4,2,28,2019.0,2.86,24500000
68.0,3.0,1,0,1,19,1986.0,2.86,35000000
60.0,2.0,1,4,2,0,2023.0,2.86,41000000
92.0,3.0,1,0,2,24,2022.0,2.86,37000000
43.0,2.0,1,4,2,23,2017.0,2.86,24500000
60.0,2.0,1,4,2,28,2019.0,2.86,31000000
70.4,3.0,1,4,2,2,2019.0,2.86,36000000
37.0,1.0,1,4,2,19,2019.0,2.86,25000000
35.0,1.0,1,4,2,3,2016.0,2.86,21000000
69.0,2.0,1,4,2,23,2018.0,2.86,33000000
57.03,2.0,1,1,2,27,2023.0,2.86,21000000
57.03,2.0,1,1,2,27,2023.0,2.86,21000000
54.0,2.0,1,4,2,26,2019.0,2.86,35000000
45.0,1.0,1,4,2,19,2018.0,2.86,24000000
51.0,1.0,1,4,2,28,2010.0,2.86,23000000
47.0,2.0,1,4,2,24,2011.0,2.86,25500000
80.0,3.0,1,5,2,28,2011.0,2.86,28500000
43.0,2.0,1,5,2,24,2018.0,2.86,18500000
68.0,3.0,1,4,1,11,1986.0,2.86,39000000
30.0,1.0,1,5,2,19,2015.0,2.86,14500000
47.0,1.0,1,0,2,23,2017.0,2.86,22500000
45.0,1.0,1,4,2,19,2017.0,2.86,21000000
47.0,1.0,1,2,2,27,2010.0,2.86,23200000
35.0,1.0,1,0,2,26,2019.0,2.86,25000000
36.0,1.0,1,4,2,26,2018.0,2.86,25000000
37.0,1.0,1,4,2,3,2020.0,2.86,22000000
35.8,2.0,1,4,1,0,1969.0,2.86,19500000
47.0,1.0,1,0,2,24,2012.0,2.8,26500000
82.0,3.0,1,4,2,27,2016.0,2.86,44500000
45.0,1.0,1,4,2,19,2018.0,2.86,24000000
87.0,3.0,1,4,2,11,2015.0,2.86,45000000
87.0,3.0,1,4,2,11,2015.0,2.86,45000000
68.0,2.0,1,4,2,19,2012.0,2.86,33000000
83.3,3.0,1,4,2,5,2016.0,2.86,45500000
65.0,3.0,1,0,2,23,2012.0,2.86,39000000
86.0,3.0,1,4,2,11,2016.0,2.86,52000000
65.0,2.0,1,4,2,26,2010.0,2.86,37500000
78.0,3.0,1,0,2,29,2019.0,2.7,38000000
50.6,1.0,1,4,2,28,2010.0,2.86,30000000
90.0,3.0,1,4,2,24,2017.0,2.86,58000000
93.0,3.0,1,4,2,29,2012.0,2.86,48000000
58.0,2.0,1,0,2,3,2019.0,2.86,34000000
90.0,3.0,1,4,2,27,2018.0,2.86,47800000
67.9,3.0,1,4,2,11,2018.0,2.86,45000000
42.5,1.0,1,0,2,1,2010.0,2.86,23500000
35.0,1.0,1,3,2,11,2014.0,2.86,20000000
45.4,1.0,1,5,2,23,2023.0,2.86,20800000
38.0,1.0,1,4,2,26,2014.0,2.86,24500000
69.3,2.0,1,2,2,0,2015.0,2.86,31400000
40.0,1.0,1,4,2,29,2019.0,2.86,27000000
60.0,2.0,1,4,2,2,2020.0,2.86,41000000
64.4,2.0,1,4,2,11,2014.0,2.86,42000000
30.0,1.0,1,4,1,11,1982.0,2.86,16500000
75.7,3.0,1,4,2,0,2015.0,2.86,44999999
45.0,1.0,1,0,2,24,2015.0,2.86,22300000
40.0,1.0,1,2,2,26,2015.0,2.8,18500000
45.0,1.0,1,4,2,28,2015.0,2.86,23000000
40.0,1.0,1,4,2,28,2015.0,2.86,24000000
37.0,1.0,1,4,2,1,2017.0,2.86,30000000
44.0,1.0,1,4,2,0,2014.0,2.86,18500000
72.0,2.0,1,3,2,28,2023.0,2.86,35900000
70.0,2.0,1,3,2,28,2023.0,2.86,33800000
83.1,4.0,1,4,2,19,1998.0,2.86,42000000
41.2,1.0,1,1,2,24,2023.0,2.86,18498000
47.0,2.0,1,4,2,19,2011.0,2.86,25500000
64.0,2.0,1,4,3,28,2014.0,2.86,27500000
